Grade;Cod;Descricao;UN;Inicial;Ent.;Ent.MCDD;Reserva;Trans.;Saidas;Sai.MCDD;Disp.;Res.Magali;Inic.Agend.;Ent.Agend.;Sai.Agend.;Disp.Agend.
01;011593;PC GFAVD1L     ;Dz  ;0000045;0000000;0000000;0000000;000000; 000000; 000000; 0000045; 0000000;0000000;0000000;0000000; 0000000
01;012948;BCZ LT350SH12NP;cx  ;0000642;0000000;0000000;0000000;000000; 000000; 000000; 0000642; 0000000;0000000;0000000;0000000; 0000000
01;012951;BCZ LN355SPCTC4;cx  ;0000046;0000000;0000000;0000000;000000; 000000; 000000; 0000046; 0000000;0000000;0000000;0000000; 0000000
01;013061;H2OH LNETO PT50;cx  ;0000133;0000000;0000000;0000000;000000; 000000; 000000; 0000133; 0000000;0000000;0000000;0000000; 0000000
01;013307;BUD GFVD990C12 ;cx  ;0000086;0000000;0000000;0000000;000000; 000000; 000000; 0000086; 0000000;0000000;0000000;0000000; 0000000
01;013486;FUSION PT 1LSHC;cx  ;0000112;0000000;0000000;0000000;000000; 000000; 000000; 0000112; 0000000;0000000;0000000;0000000; 0000000
01;013566;SKBTSEN LT269CX;cx  ;0000083;0000000;0000000;0000000;000000; 000000; 000000; 0000083; 0000000;0000000;0000000;0000000; 0000000
01;014103;WLSE OW600CX12A;cx  ;0000013;0000000;0000000;0000000;000000; 000000; 000000; 0000013; 0000000;0000000;0000000;0000000; 0000000
01;014109;WLWI OW600CX12A;cx  ;0000014;0000000;0000000;0000000;000000; 000000; 000000; 0000014; 0000000;0000000;0000000;0000000; 0000000
01;014113;XWL OW600CX12AR;cx  ;0000023;0000000;0000000;0000000;000000; 000000; 000000; 0000023; 0000000;0000000;0000000;0000000; 0000000
01;014135;BUD LT473SPSHC2;cx  ;0001316;0000000;0000000;0000000;000000; 000000; 000000; 0001316; 0000000;0000000;0000000;0000000; 0000000
01;014138;SKBTSEN LT473SP;cx  ;0000307;0000000;0000000;0000000;000000; 000000; 000000; 0000307; 0000000;0000000;0000000;0000000; 0000000
